Sn	Sp
1	0.000481
1	0.000481
1	0.000962001
1	0.000962001
1	0.002886
1	0.004329
1	0.004329
1	0.004329
1	0.00481
1	0.00577201
1	0.00625301
1	0.00913901
1	0.00962001
1	0.011063
1	0.011063
1	0.013468
1	0.01443
1	0.015392
1	0.015392
1	0.015392
1	0.016354
1	0.017316
1	0.017797
1	0.018278
1	0.019721
1	0.021645
1	0.022607
1	0.02405
1	0.025974
1	0.025974
1	0.026455
1	0.026455
1	0.026455
1	0.027898
1	0.029341
1	0.031265
1	0.034151
1	0.034151
1	0.035113
1	0.035594
1	0.036075
1	0.037518
1	0.038961
1	0.039442
1	0.041366
1	0.042809
1	0.044252
1	0.044252
1	0.044733
1	0.045214
1	0.046176
1	0.047619
1	0.047619
1	0.047619
1	0.0509861
1	0.0514671
1	0.0529101
1	0.0538721
1	0.0557961
1	0.0577201
1	0.0586821
1	0.0586821
1	0.0586821
1	0.0591631
1	0.0606061
1	0.0620491
1	0.0625301
1	0.0634921
1	0.0649351
1	0.0683021
1	0.0683021
1	0.0687831
1	0.0692641
1	0.0692641
1	0.0702261
1	0.0707071
1	0.0716691
1	0.0721501
1	0.0721501
1	0.0726311
1	0.0726311
1	0.0731121
1	0.0735931
1	0.0750361
1	0.0755171
1	0.0803271
1	0.0803271
1	0.0812891
1	0.0812891
1	0.0812891
1	0.0817701
1	0.0827321
1	0.0836941
1	0.0856181
1	0.0865801
1	0.0865801
1	0.0875421
1	0.0885041
1	0.0904281
1	0.0904281
1	0.0913901
1	0.0923521
1	0.0942761
1	0.0942761
1	0.0942761
1	0.0952381
1	0.0986051
1	0.0990861
1	0.100048
1	0.101491
1	0.102453
1	0.102453
1	0.103896
1	0.106782
1	0.109187
1	0.112073
1	0.112554
1	0.113035
1	0.113035
1	0.116402
1	0.117845
1	0.119769
1	0.122174
1	0.123617
1	0.123617
1	0.124579
1	0.124579
1	0.126022
1	0.126503
1	0.126984
1	0.128427
1	0.130351
1	0.130832
1	0.131794
1	0.133237
1	0.13468
1	0.13468
1	0.135161
1	0.135642
1	0.136604
1	0.136604
1	0.13949
1	0.139971
1	0.139971
1	0.140452
1	0.140452
1	0.140933
1	0.142376
1	0.143338
1	0.143819
1	0.1443
1	0.1443
1	0.144781
1	0.146705
1	0.146705
1	0.147667
1	0.14911
1	0.14911
1	0.149591
1	0.150072
1	0.151034
1	0.152477
1	0.154882
1	0.155844
1	0.157287
1	0.157287
1	0.157768
1	0.157768
1	0.157768
1	0.157768
1	0.158249
1	0.15873
1	0.159692
1	0.164502
1	0.164983
1	0.165945
1	0.166907
1	0.167388
1	0.167869
1	0.168831
1	0.169793
1	0.170755
1	0.172198
1	0.17316
1	0.173641
1	0.173641
1	0.174603
1	0.177008
1	0.179413
1	0.181337
1	0.181818
1	0.184223
1	0.187109
1	0.187109
1	0.187109
1	0.188552
1	0.189995
1	0.190476
1	0.191438
1	0.191438
1	0.192881
1	0.194324
1	0.196729
1	0.198653
1	0.199615
1	0.200096
1	0.200577
1	0.200577
1	0.201539
1	0.202501
1	0.202982
1	0.203944
1	0.203944
1	0.204425
1	0.204425
1	0.204906
1	0.205387
1	0.205387
1	0.20683
1	0.207311
1	0.212602
1	0.213083
1	0.213564
1	0.214045
1	0.215007
1	0.217412
1	0.217412
1	0.217893
1	0.218374
1	0.219336
1	0.222703
1	0.224146
1	0.227032
1	0.227513
1	0.229918
1	0.230399
1	0.231842
1	0.232804
1	0.234247
1	0.236171
1	0.236652
1	0.238576
1	0.242424
1	0.242424
1	0.243386
1	0.244348
1	0.244829
1	0.24531
1	0.245791
1	0.245791
1	0.246272
1	0.246272
1	0.247234
1	0.247234
1	0.247715
1	0.248196
1	0.249158
1	0.249158
1	0.249158
1	0.249158
1	0.252044
1	0.253968
1	0.254449
1	0.257816
1	0.258778
1	0.259259
1	0.25974
1	0.260221
1	0.261183
1	0.262145
1	0.262145
1	0.263107
1	0.263107
1	0.265512
1	0.265993
1	0.269841
1	0.270803
1	0.271284
1	0.271765
1	0.272246
1	0.273689
1	0.276094
1	0.276094
1	0.277537
1	0.277537
1	0.278018
1	0.278018
1	0.279461
1	0.282828
1	0.283309
1	0.284752
1	0.284752
1	0.286195
1	0.286676
1	0.286676
1	0.289081
1	0.291005
1	0.295334
1	0.296296
1	0.299663
1	0.299663
1	0.300144
1	0.300144
1	0.302068
1	0.306397
1	0.309283
1	0.311207
1	0.311207
1	0.311688
1	0.311688
1	0.313612
1	0.313612
1	0.313612
1	0.316017
1	0.316017
1	0.316979
1	0.318903
1	0.320827
1	0.321308
1	0.321789
1	0.323713
1	0.324194
1	0.324194
1	0.325156
1	0.325156
1	0.326599
1	0.326599
1	0.326599
1	0.32708
1	0.327561
1	0.327561
1	0.329966
1	0.329966
1	0.330447
1	0.333333
1	0.335257
1	0.336219
1	0.338143
1	0.338624
1	0.339105
1	0.339586
1	0.340067
1	0.342953
1	0.344396
1	0.345358
1	0.34632
1	0.34632
1	0.347282
1	0.348244
1	0.348725
1	0.349687
1	0.354497
1	0.355459
1	0.35594
1	0.35594
1	0.35594
1	0.356421
1	0.356902
1	0.361231
1	0.362674
1	0.364598
1	0.364598
1	0.365079
1	0.36556
1	0.367003
1	0.367965
1	0.368446
1	0.368927
1	0.370851
1	0.371332
1	0.371813
1	0.372775
1	0.373256
1	0.373737
1	0.373737
1	0.374699
1	0.374699
1	0.37518
1	0.376142
1	0.376623
1	0.377104
1	0.379509
1	0.380952
1	0.381433
1	0.382876
1	0.385281
1	0.385762
1	0.386243
1	0.389129
1	0.390091
1	0.391053
1	0.391053
1	0.392015
1	0.393939
1	0.39442
1	0.394901
1	0.396344
1	0.398749
1	0.398749
1	0.399711
1	0.401154
1	0.401635
1	0.401635
1	0.402116
1	0.404521
1	0.406926
1	0.407407
1	0.407407
1	0.409812
1	0.409812
1	0.409812
1	0.412698
1	0.413179
1	0.415103
1	0.416546
1	0.416546
1	0.417027
1	0.417027
1	0.417027
1	0.417989
1	0.418951
1	0.421356
1	0.421837
1	0.422318
1	0.424242
1	0.424723
1	0.426166
1	0.427128
1	0.427609
1	0.42809
1	0.428571
1	0.431457
1	0.434343
1	0.434343
1	0.436267
1	0.436748
1	0.438672
1	0.438672
1	0.438672
1	0.442039
1	0.443482
1	0.444925
1	0.445406
1	0.446849
1	0.44733
1	0.447811
1	0.447811
1	0.449735
1	0.453583
1	0.455507
1	0.455988
1	0.458393
1	0.459836
1	0.461279
1	0.462241
1	0.463684
1	0.464646
1	0.465127
1	0.465127
1	0.465608
1	0.466089
1	0.466089
1	0.466089
1	0.46657
1	0.46657
1	0.467051
1	0.468494
1	0.469937
1	0.472342
1	0.472823
1	0.474747
1	0.47619
1	0.477152
1	0.477152
1	0.479076
1	0.479557
1	0.482443
1	0.486291
1	0.486291
1	0.487734
1	0.488215
1	0.488215
1	0.488696
1	0.490139
1	0.492544
1	0.492544
1	0.492544
1	0.493025
1	0.493025
1	0.494468
1	0.495911
1	0.497354
1	0.497835
1	0.497835
1	0.497835
1	0.498316
1	0.499278
1	0.500241
1	0.500241
1	0.501684
1	0.503608
1	0.503608
1	0.503608
1	0.504089
1	0.50457
1	0.50457
1	0.50457
1	0.505532
1	0.507937
1	0.509861
1	0.510342
1	0.512747
1	0.513228
1	0.513709
1	0.51419
1	0.516595
1	0.517557
1	0.517557
1	0.521405
1	0.521886
1	0.522367
1	0.523329
1	0.528139
1	0.529101
1	0.530063
1	0.531987
1	0.534392
1	0.534873
1	0.535354
1	0.536797
1	0.536797
1	0.536797
1	0.537278
1	0.537759
1	0.53824
1	0.53824
1	0.539683
1	0.539683
1	0.541607
1	0.541607
1	0.542569
1	0.543531
1	0.543531
1	0.544974
1	0.549303
1	0.549303
1	0.549303
1	0.550265
1	0.550746
1	0.55267
1	0.556037
1	0.556518
1	0.556999
1	0.556999
